"area_name","area_code","date","new_cases","total_cases"
"Kingston upon Thames","E09000021",2020-09-16,5,902
"Lambeth","E09000022",2020-09-16,5,1775
"Lewisham","E09000023",2020-09-16,12,1492
"Merton","E09000024",2020-09-16,5,1110
"Newham","E09000025",2020-09-16,15,1739
"Redbridge","E09000026",2020-09-16,14,1593
"Richmond upon Thames","E09000027",2020-09-16,2,753
"Southwark","E09000028",2020-09-16,12,1805
"Sutton","E09000029",2020-09-16,2,1151
"Tower Hamlets","E09000030",2020-09-16,13,1245
"Waltham Forest","E09000031",2020-09-16,17,1345
"Wandsworth","E09000032",2020-09-16,9,1621
"Westminster","E09000033",2020-09-16,11,1095
"Barking and Dagenham","E09000002",2020-09-17,24,1057
"Barnet","E09000003",2020-09-17,11,2144
"Bexley","E09000004",2020-09-17,7,1262
"Brent","E09000005",2020-09-17,12,2116
"Bromley","E09000006",2020-09-17,6,1792
"Camden","E09000007",2020-09-17,5,960
"Croydon","E09000008",2020-09-17,9,2172
"Ealing","E09000009",2020-09-17,6,2029
"Enfield","E09000010",2020-09-17,18,1587
"Greenwich","E09000011",2020-09-17,7,1194
"Hackney and City of London","E09000012",2020-09-17,11,1370
"Hammersmith and Fulham","E09000013",2020-09-17,4,1052
"Haringey","E09000014",2020-09-17,11,1110
"Harrow","E09000015",2020-09-17,13,1619
"Havering","E09000016",2020-09-17,21,1335
"Hillingdon","E09000017",2020-09-17,8,1515
"Hounslow","E09000018",2020-09-17,5,1519
"Islington","E09000019",2020-09-17,6,803
"Kensington and Chelsea","E09000020",2020-09-17,4,817
"Kingston upon Thames","E09000021",2020-09-17,5,907
"Lambeth","E09000022",2020-09-17,6,1781
"Lewisham","E09000023",2020-09-17,9,1501
"Merton","E09000024",2020-09-17,2,1112
"Newham","E09000025",2020-09-17,22,1761
"Redbridge","E09000026",2020-09-17,19,1612
"Richmond upon Thames","E09000027",2020-09-17,4,757
"Southwark","E09000028",2020-09-17,13,1818
"Sutton","E09000029",2020-09-17,7,1158
"Tower Hamlets","E09000030",2020-09-17,19,1264
"Waltham Forest","E09000031",2020-09-17,12,1357
"Wandsworth","E09000032",2020-09-17,11,1632
"Westminster","E09000033",2020-09-17,7,1102
"Barking and Dagenham","E09000002",2020-09-18,14,1071
"Barnet","E09000003",2020-09-18,10,2154
"Bexley","E09000004",2020-09-18,11,1273
"Brent","E09000005",2020-09-18,14,2130
"Bromley","E09000006",2020-09-18,12,1804
"Camden","E09000007",2020-09-18,11,971
"Croydon","E09000008",2020-09-18,18,2190
"Ealing","E09000009",2020-09-18,19,2048
